Motor_Current_A,Oil_Temperature_C,Line_Pressure_bar,Filter_DeltaP_bar,Running_Hours,Vibration_RMS_mm_s,Status,Label,Reason
29.32,84,3.49,0.123,606.3,0.2,Warning,1,Line pressure high warning (3.2-3.6 bar)
38.94,73.32,2.66,0.1,993.9,3.7,Warning,1,Line pressure low warning (2.4-2.8 bar)
52.81,69.17,2.83,0.332,1389.9,0.74,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
29.64,84.55,3.15,0.094,1529.6,2.36,Normal,0,None
25.81,64.12,3.15,0.101,865,3.85,Normal,0,None
66.3,67.97,3.05,0.127,122.7,0.55,Warning,1,Motor current in warning range (60-70A)
49.07,62.82,2.97,0.274,2615.2,4.54,Warning,1,Service interval warning (2000-3000 hrs)
1.58,87.36,2.44,0.032,1242.4,1.42,Critical,2,Motor current fault (<10A) - Belt/coupling/unload fault
49.28,69.67,1.82,0.122,2404.6,6.73,Critical,2,Line pressure critically low (<2.4 bar)
4.46,87.04,2.07,0.13,974,0.75,Critical,2,Motor current fault (<10A) - Belt/coupling/unload fault
56.12,89.34,3.11,0.085,875.2,2.69,Normal,0,None
65.12,102.22,3.18,0.305,2018.4,3.16,Warning,1,Multiple parameters in warning range
27.59,91.38,3.17,0.25,593.1,1.47,Warning,1,Oil temperature in warning range (90-105°C)
31.59,62.2,2.64,0.168,41.9,1.03,Warning,1,Line pressure low warning (2.4-2.8 bar)
64.1,99.85,3.16,0.283,2468.5,3.15,Warning,1,Multiple parameters in warning range
44.86,80.48,3.17,0.12,676.5,0.49,Normal,0,None
55.9,79.21,2.92,0.442,1693,3.61,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
54.67,81.2,3.1,0.403,1090.1,0.83,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
57.99,85.15,3.1,0.267,1695.1,7.96,Critical,2,Vibration critical (>7 mm/s)
57.3,93.38,2.5,0.218,2491.8,5.35,Warning,1,Multiple parameters in warning range
64.44,87.98,2.87,0.345,1505.2,4.7,Warning,1,Multiple parameters in warning range
37.31,64.07,3.33,0.185,736.6,3.84,Warning,1,Line pressure high warning (3.2-3.6 bar)
64.55,84.51,3.17,0.233,1593,5.4,Warning,1,Multiple parameters in warning range
45.69,76.29,3.01,0.121,1610,2.69,Normal,0,None
52.24,80.51,3.08,0.103,294.9,1.75,Normal,0,None
46.55,82.65,2.79,0.177,842.5,2.53,Warning,1,Line pressure low warning (2.4-2.8 bar)
45.56,77.77,2.84,0.176,2026.2,2.99,Warning,1,Service interval warning (2000-3000 hrs)
33.49,70.02,3.55,0.186,1605.3,0.91,Warning,1,Line pressure high warning (3.2-3.6 bar)
51.56,64.67,3.04,0.018,1313.9,2.92,Normal,0,None
56.71,66.74,2.46,0.161,1553.4,1.87,Warning,1,Line pressure low warning (2.4-2.8 bar)
25.62,98.39,3.17,0.242,104.5,3.62,Warning,1,Oil temperature in warning range (90-105°C)
34.54,84.63,3.7,0.497,1048.5,4.16,Critical,2,Line pressure critically high (>3.6 bar)
55.14,80.61,2.77,0.246,2081.7,3.72,Warning,1,Service interval warning (2000-3000 hrs)
41.09,73.73,3.05,0.101,1025,4.14,Warning,1,Vibration in warning range (4-7 mm/s)
51.01,75.29,2.85,0.472,1741.2,3.51,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
65.44,73.5,2.86,0.125,760.8,3.48,Warning,1,Motor current in warning range (60-70A)
53.47,71.24,3.19,0.103,1391.8,0.59,Normal,0,None
34.22,101.64,3.73,0.081,1845.9,2.98,Critical,2,Line pressure critically high (>3.6 bar)
56.08,73.4,2.87,0.206,1054.8,2.2,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
58.47,102.05,3.28,0.279,1814.4,5.26,Warning,1,Multiple parameters in warning range
36.72,64.82,3.07,0.181,479.7,0.37,Normal,0,None
47.34,78.95,2.52,0.18,1958.2,1.84,Warning,1,Line pressure low warning (2.4-2.8 bar)
57.72,102.24,2.77,0.349,2142.9,3.77,Warning,1,Multiple parameters in warning range
55.82,92.19,3.16,0.382,2266.1,5.68,Warning,1,Multiple parameters in warning range
29.83,72.88,2.98,0.176,760.8,2.21,Normal,0,None
34.33,86.84,2.91,0.19,1609.8,6.3,Warning,1,Vibration in warning range (4-7 mm/s)
30.26,69.83,2.49,0.65,1795.1,2.28,Critical,2,Filter choked (ΔP >0.5 bar)
56.27,66.72,2.81,0.15,2034.7,4.48,Warning,1,Service interval warning (2000-3000 hrs)
56.01,77.66,3.03,0.085,869.2,1.36,Normal,0,None
46.13,78.1,3.08,0.139,1024.7,0.96,Normal,0,None
51.3,74.58,3.05,0.01,723.7,0.95,Normal,0,None
59.04,68.48,2.99,0.032,561.4,2.48,Normal,0,None
63.36,90.55,3.42,0.26,2117.1,3.26,Warning,1,Multiple parameters in warning range
46.31,90.02,3.5,0.545,1183.7,1.77,Critical,2,Filter choked (ΔP >0.5 bar)
62.52,104.59,2.31,0,153.4,4.37,Critical,2,Line pressure critically low (<2.4 bar)
45.42,75.96,1.88,0.214,213,5.15,Critical,2,Line pressure critically low (<2.4 bar)
46.48,59.69,3.06,0.271,2873.7,3.85,Warning,1,Service interval warning (2000-3000 hrs)
25.49,71.63,2.94,0.089,87.5,2.41,Normal,0,None
49.45,74.29,3.06,0.058,1578,1.25,Normal,0,None
57.6,74.06,3.31,0.112,1202.1,1.37,Warning,1,Line pressure high warning (3.2-3.6 bar)
56.05,69.81,2.86,0.088,2636.9,3.86,Warning,1,Service interval warning (2000-3000 hrs)
66.37,78.6,2.94,0.043,908,4.01,Warning,1,Motor current in warning range (60-70A)
38.45,60.91,2.84,0.083,46.7,4.45,Warning,1,Vibration in warning range (4-7 mm/s)
56.69,104.57,2.78,0.361,2326.7,4.69,Warning,1,Multiple parameters in warning range
44.45,75.46,3.09,0.165,604.7,1.71,Normal,0,None
35.5,88.07,2.97,0.067,278.4,2.43,Normal,0,None
47.7,66.29,2.97,0.119,2543,3.44,Warning,1,Service interval warning (2000-3000 hrs)
31.07,95.54,2.65,0.397,2631.3,7.65,Critical,2,Vibration critical (>7 mm/s)
35.63,67.15,3.11,0.077,984.7,2.07,Normal,0,None
53.87,84.07,3.04,0.162,218.5,0.87,Normal,0,None
25.77,73.33,2.65,0.138,268.9,2.86,Warning,1,Line pressure low warning (2.4-2.8 bar)
34.84,103.6,2.5,0.703,4656.9,6.79,Critical,2,Service critical (>3000 hrs) - Service required
48.43,82.82,3.12,0.116,975.3,0.34,Normal,0,None
70.8,65.21,3.31,0.466,2865.3,0.57,Critical,2,Motor current critical (>70A)
27.23,63.02,2.96,0.056,562,0.73,Normal,0,None
31.4,79.4,2.83,0.133,1295.6,1.45,Warning,1,Line pressure low warning (2.4-2.8 bar)
33.22,81.81,3.12,0.161,1040.3,2.03,Normal,0,None
67.84,66.01,2.23,0.029,952.8,5.32,Critical,2,Air leak/Airend wear (High current + Low pressure)
35.64,63.32,2.95,0.063,626.7,6.51,Warning,1,Vibration in warning range (4-7 mm/s)
38.92,105.39,2.86,0.265,775.3,1.98,Warning,1,Oil temperature in warning range (90-105°C)
35.53,63.16,3.12,0.114,720.1,0,Normal,0,None
58.3,92.67,2.88,0.152,1916.5,5.41,Warning,1,Multiple parameters in warning range
32.51,99.3,3.07,0.182,1303.3,0.71,Warning,1,Oil temperature in warning range (90-105°C)
65.72,87.98,3.41,0.217,1558.1,4.08,Warning,1,Multiple parameters in warning range
64.43,72.15,3.02,0.107,928.2,0.15,Warning,1,Motor current in warning range (60-70A)
64.04,109.46,3.01,0.482,50.8,0.89,Critical,2,Oil temperature critical (>105°C)
37.96,71.33,2.81,0.158,2974.2,4.09,Warning,1,Service interval warning (2000-3000 hrs)
38.84,70.75,2.83,0.048,968.2,0.86,Normal,0,None
31.55,64.72,2.67,0.172,293.9,2.21,Warning,1,Line pressure low warning (2.4-2.8 bar)
33.94,70.51,3.15,0.079,1780.3,1.72,Normal,0,None
42.61,78.18,2.86,0.041,919.3,3.2,Normal,0,None
0,85.77,3.02,0.224,725.9,3.43,Critical,2,Motor current fault (<10A) - Belt/coupling/unload fault
59.01,66.13,3.12,0.175,1920.3,3.82,Normal,0,None
62.9,99.72,2.74,0.31,1662.7,4.87,Warning,1,Multiple parameters in warning range
36.56,87.54,3.09,0.015,58.3,1.65,Normal,0,None
45.6,100.78,3.76,0.033,1115.2,5.26,Critical,2,Line pressure critically high (>3.6 bar)
45.14,70.77,3.04,0.044,1836.5,4.64,Warning,1,Vibration in warning range (4-7 mm/s)
57.82,76.12,2.97,0.125,1517.6,2.05,Normal,0,None
50.63,99.44,3.1,0.56,2565.1,2.36,Critical,2,Filter choking (High temperature + High ΔP)
35.74,81.13,3.1,0.23,2875.9,2.49,Warning,1,Service interval warning (2000-3000 hrs)
24.76,95.16,2.99,0.165,452.3,3.78,Warning,1,Oil temperature in warning range (90-105°C)
50.73,85.91,2.98,0.058,1425.2,4.92,Warning,1,Vibration in warning range (4-7 mm/s)
46.38,80.25,2.86,0.115,334.6,2.69,Normal,0,None
35.68,81.25,3.11,0.129,2508.9,3.51,Warning,1,Service interval warning (2000-3000 hrs)
58.13,80.28,3.07,0.177,1614.1,4.9,Warning,1,Vibration in warning range (4-7 mm/s)
66.25,97.09,3.44,0.273,1663,3.99,Warning,1,Multiple parameters in warning range
49.49,85.21,3.03,0.198,1009.6,0.15,Normal,0,None
65.87,71.5,2.87,0.179,619.6,0.7,Warning,1,Motor current in warning range (60-70A)
52.9,106.55,3.41,0.493,155.5,4.58,Critical,2,Filter choking (High temperature + High ΔP)
46.48,93.3,3.07,0.223,1567.5,0.26,Warning,1,Oil temperature in warning range (90-105°C)
57.78,78.84,3.47,0.117,836.7,0.7,Warning,1,Line pressure high warning (3.2-3.6 bar)
40.01,88.49,2.84,0.114,1941.4,0.53,Normal,0,None
38.45,68.14,2.88,0.089,574.9,1.09,Normal,0,None
27,89.37,2.94,0.007,1247.3,2.48,Normal,0,None
36.72,68.68,3.05,0.464,211.8,3.65,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
49.83,80.34,2.99,0,506.2,2.39,Normal,0,None
58.69,62.93,2.82,0.082,1496.8,0.21,Normal,0,None
50.07,60.54,3.04,0.12,484,2.47,Normal,0,None
34.13,66.85,3.23,0.097,1213.5,2.98,Warning,1,Line pressure high warning (3.2-3.6 bar)
57.26,76.37,2.89,0.121,1475.8,3.08,Normal,0,None
35.59,94.19,3.17,0.244,908.7,3.32,Warning,1,Oil temperature in warning range (90-105°C)
40.3,79.43,3.18,0,584.8,3.3,Normal,0,None
57.1,62.88,3.1,0.19,2260.2,4,Warning,1,Service interval warning (2000-3000 hrs)
54.97,81.8,2.82,0.045,499.9,1.29,Normal,0,None
36.05,103.48,3.16,0.201,1011.3,1.72,Warning,1,Oil temperature in warning range (90-105°C)
32.81,101.75,3.08,0.266,1496.7,3.49,Warning,1,Oil temperature in warning range (90-105°C)
32.58,62.28,2.87,0,1464.8,2.75,Normal,0,None
55.89,88.88,3.04,0.323,1557.7,3.58,Warning,1,Multiple parameters in warning range
42.99,81.22,2.7,0.024,823.9,2.01,Warning,1,Line pressure low warning (2.4-2.8 bar)
46.63,63.28,2.94,0.228,412.5,2.74,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
67.9,62.35,3.02,0.116,1377.3,2.55,Warning,1,Motor current in warning range (60-70A)
68.03,74.49,2.96,0.154,366.9,1.8,Warning,1,Motor current in warning range (60-70A)
28.04,98.87,2.89,0.675,199.7,6.73,Critical,2,Filter choked (ΔP >0.5 bar)
39.86,89.73,3.01,0.042,701,0.97,Normal,0,None
67.73,60.85,2.9,0.125,10.6,1.94,Warning,1,Motor current in warning range (60-70A)
63.53,85.41,3.78,0.383,1554,5.58,Critical,2,Line pressure critically high (>3.6 bar)
55.92,82.69,3.18,0.141,1308.3,5.83,Warning,1,Vibration in warning range (4-7 mm/s)
41.4,80.09,2.91,0.049,483,1.16,Normal,0,None
54.52,79.96,3.13,0.043,528.1,2.68,Normal,0,None
31.96,81.46,2.87,0.125,1323.9,1.08,Normal,0,None
37.62,73.32,2.78,0.053,1758.4,4.07,Warning,1,Vibration in warning range (4-7 mm/s)
36.47,87.25,3.16,0.05,1992.3,3.68,Normal,0,None
55.34,89.89,2.89,0.011,260.2,1.79,Normal,0,None
36.14,80.72,2.93,0.113,2623.7,4.32,Warning,1,Service interval warning (2000-3000 hrs)
45.86,90.22,3.07,0.092,778.5,2.62,Normal,0,None
32.11,89.99,3.23,0.125,1430.2,3.11,Normal,0,None
58.7,64.28,2.59,0.15,1297.3,2.96,Warning,1,Line pressure low warning (2.4-2.8 bar)
32.05,82.01,2.99,0.138,339.5,3.35,Normal,0,None
42.38,73.81,3.29,0.11,1842.6,1.09,Warning,1,Line pressure high warning (3.2-3.6 bar)
25.55,73.32,2.85,0.113,1765.8,3.61,Normal,0,None
59.59,60.38,3.16,0.222,2465,4.85,Warning,1,Service interval warning (2000-3000 hrs)
27.36,66.08,2.89,0.099,202,1.16,Normal,0,None
40.99,102.54,2.74,0.545,1066,1.74,Critical,2,Filter choking (High temperature + High ΔP)
30.43,68.49,3.14,0.034,969.1,0.35,Normal,0,None
31.39,79.64,2.5,0.096,919.2,0.27,Warning,1,Line pressure low warning (2.4-2.8 bar)
48.12,106.7,3.07,0.342,2586.6,5.43,Critical,2,Oil temperature critical (>105°C)
50.25,73.07,2.57,0.183,1719.6,1.42,Warning,1,Line pressure low warning (2.4-2.8 bar)
30.52,92.79,3.19,0.161,1158.6,2.42,Warning,1,Oil temperature in warning range (90-105°C)
29.36,76.58,2.89,0.045,365.7,0.9,Normal,0,None
37.84,84.42,2.92,0.124,2845.1,3.71,Warning,1,Service interval warning (2000-3000 hrs)
33.58,67.26,3.21,0.153,1254.7,3.11,Warning,1,Line pressure high warning (3.2-3.6 bar)
56.55,94.54,3.38,0.139,1707.5,3.81,Warning,1,Multiple parameters in warning range
49.59,103.91,3.1,0.801,1193.6,5.17,Critical,2,Filter choking (High temperature + High ΔP)
45.49,89.04,3,0.103,69.8,0.2,Normal,0,None
33.1,61.07,3.07,0.018,562.1,2.56,Normal,0,None
51.19,64.43,2.71,0.06,1131.6,2.64,Warning,1,Line pressure low warning (2.4-2.8 bar)
37.45,62.48,3.6,0.142,531,3.69,Warning,1,Line pressure high warning (3.2-3.6 bar)
58.59,88.02,3.08,0.053,1926.7,0.96,Normal,0,None
59.95,102.02,3.41,0.197,2428.6,3.82,Warning,1,Multiple parameters in warning range
33.16,75.88,3.08,0.423,1155.8,3.13,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
33.95,66.07,2.86,0.05,1661.9,1.75,Normal,0,None
62.85,91.1,3.12,0.25,1616.6,3.55,Warning,1,Multiple parameters in warning range
53.83,76.88,3.06,0.458,653.6,1.84,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
61.22,89.2,2.87,0.014,1477.7,2.41,Warning,1,Motor current in warning range (60-70A)
58.82,101.86,3.3,0.392,2469.7,3.97,Warning,1,Multiple parameters in warning range
32.88,79.74,2.88,0.359,1647.1,1.38,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
32.84,63.74,2.98,0.092,442.5,3.48,Normal,0,None
40.81,69.13,2.72,0.017,1367.7,3.78,Warning,1,Line pressure low warning (2.4-2.8 bar)
58.5,99.04,3.09,0.154,232.7,1.69,Warning,1,Oil temperature in warning range (90-105°C)
59.63,95.3,2.9,0.351,2111.8,5.62,Warning,1,Multiple parameters in warning range
47.61,62.01,2.95,0.021,1654.6,4.5,Warning,1,Vibration in warning range (4-7 mm/s)
42.7,82.64,3.16,0.061,1868.6,3.56,Normal,0,None
59.69,105.49,3.23,0.728,2498.8,0.91,Critical,2,Filter choking (High temperature + High ΔP)
56.12,68.29,3.14,0.349,616.9,1.97,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
72.35,97.89,3.47,0.193,797.8,9.39,Critical,2,Bearing/Alignment issue (High current + High vibration)
57.27,65.15,3.04,0.032,1092.9,1.27,Normal,0,None
